network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp
llama3.1_8b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,4,0.06135098181406599
llama3.1_8b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,4,3.9407754922464604
llama3.1_8b_decode_kv1024_b1_seq1,eyeriss_like,4,3,4,0.007682932340960191
llama3.1_8b_decode_kv1024_b8_seq1,eyeriss_like,4,3,4,0.03355395511363314
llama3.1_70b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,4,1.4138985871855163
llama3.1_70b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,4,56.07198091052597
llama3.1_70b_decode_kv1024_b1_seq1,eyeriss_like,4,3,4,0.13074264758100262
llama3.1_70b_decode_kv1024_b8_seq1,eyeriss_like,4,3,4,0.33305484648664346
qwen3_30b_a3b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,4,0.005231499237415486
qwen3_30b_a3b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,4,0.6119584272959258
qwen3_30b_a3b_decode_kv1024_b1_seq1,eyeriss_like,4,3,4,0.0004837297290591437
qwen3_30b_a3b_decode_kv1024_b8_seq1,eyeriss_like,4,3,4,0.08950598769770887
qwen3_235b_a22b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,4,0.030579066366153165
qwen3_235b_a22b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,4,6.047688857148235
qwen3_235b_a22b_decode_kv1024_b1_seq1,eyeriss_like,4,3,4,0.007286162038982138
qwen3_235b_a22b_decode_kv1024_b8_seq1,eyeriss_like,4,3,4,1.2976270480251593
mobilenet_v3_small_b1_seq1,eyeriss_like,4,3,4,3.552511641114666e-08
mobilenet_v3_small_b8_seq1,eyeriss_like,4,3,4,5.324273872658883e-06
replknet31b_b1_seq1,eyeriss_like,4,3,4,7.167906038309977e-05
replknet31b_b8_seq1,eyeriss_like,4,3,4,0.004066832612713052
