network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp,config,gene
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,2.475107148464727e-07,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,1.4128449067388695e-05,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,4,3,4,5.670062925149944e-05,"['VG(gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2.5D||gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D)', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,4,4,4,0.0025361614632636036,"['VG(gemmini_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D||gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D)', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,3.6612469266237262e-06,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,0.00021014573829897956,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'LPDDR5']}"
mobilenet_v3_small_b1_seq1,eyeriss_like,4,2,2,1.310810770795751e-10,"['eyeriss_like@glb4@pe_x_scale2@pe_y_scale2@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'eyeriss_like@glb4@pe_x_scale2@pe_y_scale2@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'eyeriss_like@glb4@pe_x_scale2@pe_y_scale2@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3']","{'binary_string': '10110', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
mobilenet_v3_small_b8_seq1,eyeriss_like,9,2,2,1.0141086726135095e-08,"['eyeriss_like@glb9@pe_x_scale2@pe_y_scale2@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'eyeriss_like@glb9@pe_x_scale2@pe_y_scale2@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'eyeriss_like@glb9@pe_x_scale2@pe_y_scale2@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3']","{'binary_string': '10110', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
replknet31b_b1_seq1,eyeriss_like,9,1,4,6.200605802525566e-07,"['eyeriss_like@glb9@pe_x_scale1@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3', 'eyeriss_like@glb9@pe_x_scale1@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3']","{'binary_string': '1010', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
replknet31b_b8_seq1,eyeriss_like,16,2,2,2.2085521966979146e-05,"['eyeriss_like@glb16@pe_x_scale2@pe_y_scale2@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3', 'eyeriss_like@glb16@pe_x_scale2@pe_y_scale2@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3', 'eyeriss_like@glb16@pe_x_scale2@pe_y_scale2@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3']","{'binary_string': '1110', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
