network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy,config,gene
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,2,1,0.5430363150639139,"['VG(gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2D@GDDR7_GDDR7@offcp']","{'binary_string': '1111111', 'buffer_config': ['GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'LPDDR5']}"
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,11.1326428941046,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5@offcp']","{'binary_string': '1111111', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7']}"
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,1,1,4,13.05600537852576,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale4@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale4@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale4@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale4@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale4@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale4@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale4@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale4@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale4@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '1111111', 'buffer_config': ['GDDR7', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,1,1,3,268.9328211523862,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale3@2@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@2@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_LPDDR5_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_LPDDR5_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '1111111', 'buffer_config': ['GDDR7', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'GDDR7', 'LPDDR5', 'LPDDR5']}"
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,1,2,2.130622876700254,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2D@GDDR7_GDDR7@offcp']","{'binary_string': '1111111', 'buffer_config': ['GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5']}"
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,40.88416748853971,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_LPDDR5_LPDDR5_DDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_LPDDR5_LPDDR5_DDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_LPDDR5_LPDDR5_DDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_LPDDR5_LPDDR5_DDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_LPDDR5_LPDDR5_DDR5_GDDR7_GDDR7_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_LPDDR5_LPDDR5_DDR5_GDDR7_GDDR7_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '1111111', 'buffer_config': ['GDDR7', 'GDDR7', 'LPDDR5', 'LPDDR5', 'DDR5', 'GDDR7', 'GDDR7', 'LPDDR5']}"
mobilenet_v3_small_b1_seq1,gemmini_like,1,2,1,0.0038188946092666135,"['gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5']","{'binary_string': '10010', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
mobilenet_v3_small_b8_seq1,eyeriss_like,1,1,2,0.027099909591640776,"['eyeriss_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'eyeriss_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5']","{'binary_string': '10010', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
replknet31b_b1_seq1,eyeriss_like,1,1,1,0.1622931771358099,['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5'],"{'binary_string': '1000', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
replknet31b_b8_seq1,eyeriss_like,1,1,1,1.1765009492634384,['eyeriss_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5'],"{'binary_string': '1000', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
