network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,3,1,32.59320975909132
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,1,3,1,502.3644184226433
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,3,1,5.304844929807223
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,3,1,13.06436239157378
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,3,1,166.20066478329133
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,3,1,2070.297707445518
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,3,1,19.70183489898676
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,3,1,43.38838659263849
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,3,1,6.528924992114751
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,1,3,1,209.11524688777058
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,3,1,1.5248485015501716
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,3,1,25.58508288506083
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,1,3,1,25.896442459426083
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,1,3,1,683.8101393663841
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,3,1,5.699706794537541
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,3,1,98.13075539156421
mobilenet_v3_small_b1_seq1,gemmini_like,1,3,1,0.0055353121277320425
mobilenet_v3_small_b8_seq1,gemmini_like,1,3,1,0.04932731975918532
replknet31b_b1_seq1,gemmini_like,1,3,1,0.39623055838207594
replknet31b_b8_seq1,gemmini_like,1,3,1,2.0070142984164674
