network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp
llama3.1_8b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,3,0.07105351152515067
llama3.1_8b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,3,5.859563574126855
llama3.1_8b_decode_kv1024_b1_seq1,eyeriss_like,4,3,3,0.007697308073058054
llama3.1_8b_decode_kv1024_b8_seq1,eyeriss_like,4,3,3,0.019717429225955384
llama3.1_70b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,3,1.2861527189555042
llama3.1_70b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,3,84.48474958231508
llama3.1_70b_decode_kv1024_b1_seq1,eyeriss_like,4,3,3,0.11691221088873908
llama3.1_70b_decode_kv1024_b8_seq1,eyeriss_like,4,3,3,0.40150379315427304
qwen3_30b_a3b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,3,0.32738792044434173
qwen3_30b_a3b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,3,5.774549998946612
qwen3_30b_a3b_decode_kv1024_b1_seq1,eyeriss_like,4,3,3,0.24263531459013432
qwen3_30b_a3b_decode_kv1024_b8_seq1,eyeriss_like,4,3,3,0.996957467537163
qwen3_235b_a22b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,3,5.120356672482356
qwen3_235b_a22b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,3,47.16871689443318
qwen3_235b_a22b_decode_kv1024_b1_seq1,eyeriss_like,4,3,3,3.2172756399685207
qwen3_235b_a22b_decode_kv1024_b8_seq1,eyeriss_like,4,3,3,15.029023251103194
mobilenet_v3_small_b1_seq1,eyeriss_like,4,3,3,1.7627791155015942e-07
mobilenet_v3_small_b8_seq1,eyeriss_like,4,3,3,1.5246468220203999e-05
replknet31b_b1_seq1,eyeriss_like,4,3,3,0.0007469434899280166
replknet31b_b8_seq1,eyeriss_like,4,3,3,0.015807482471700517
