network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,1,2,47.908167445348454
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,1,1,2,416.0730444574275
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,1,2,4.903070968921841
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,1,2,10.006797662900006
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,1,2,185.8091210142956
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,1,2,1659.1923056359321
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,1,2,19.981111527913374
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,1,2,46.23252135689834
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,1,2,32.81208391433648
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,1,1,2,273.5348435509886
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,1,2,21.07645154952354
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,1,2,51.654836768768625
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,1,1,2,127.77093602027429
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,1,1,2,904.053760198802
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,1,2,89.54027932969527
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,1,2,185.30917263392632
mobilenet_v3_small_b1_seq1,gemmini_like,1,1,2,0.006653924918414864
mobilenet_v3_small_b8_seq1,gemmini_like,1,1,2,0.05018621899963465
replknet31b_b1_seq1,gemmini_like,1,1,2,0.30893248835760345
replknet31b_b8_seq1,gemmini_like,1,1,2,1.7439894398537836
