network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp
llama3.1_8b_prefill_s1024_b1_seq1024,eyeriss_like,4,4,4,0.00023818316215861652
llama3.1_8b_prefill_s1024_b8_seq1024,eyeriss_like,4,4,4,0.014386748918031484
llama3.1_8b_decode_kv1024_b1_seq1,eyeriss_like,4,4,4,2.099977263156666e-05
llama3.1_8b_decode_kv1024_b8_seq1,eyeriss_like,4,4,4,2.6109725103997814e-05
llama3.1_70b_prefill_s1024_b1_seq1024,eyeriss_like,4,4,4,0.005307878039578565
llama3.1_70b_prefill_s1024_b8_seq1024,eyeriss_like,4,4,4,0.21746150446318135
llama3.1_70b_decode_kv1024_b1_seq1,eyeriss_like,4,4,4,0.0003295230375143122
llama3.1_70b_decode_kv1024_b8_seq1,eyeriss_like,4,4,4,0.00039170364893074847
qwen3_30b_a3b_prefill_s1024_b1_seq1024,eyeriss_like,4,4,4,0.001034306363194411
qwen3_30b_a3b_prefill_s1024_b8_seq1024,eyeriss_like,4,4,4,0.005942580264586736
qwen3_30b_a3b_decode_kv1024_b1_seq1,eyeriss_like,4,4,4,0.000642552692793531
qwen3_30b_a3b_decode_kv1024_b8_seq1,eyeriss_like,4,4,4,0.0009079777203580403
qwen3_235b_a22b_prefill_s1024_b1_seq1024,eyeriss_like,4,4,4,0.014940397283907572
qwen3_235b_a22b_prefill_s1024_b8_seq1024,eyeriss_like,4,4,4,0.08091617688811432
qwen3_235b_a22b_decode_kv1024_b1_seq1,eyeriss_like,4,4,4,0.010226736099818175
qwen3_235b_a22b_decode_kv1024_b8_seq1,eyeriss_like,4,4,4,0.014120782205495721
mobilenet_v3_small_b1_seq1,eyeriss_like,4,4,4,1.1745234394830988e-09
mobilenet_v3_small_b8_seq1,eyeriss_like,4,4,4,1.1249719355488182e-07
replknet31b_b1_seq1,eyeriss_like,4,4,4,7.295540538159772e-06
replknet31b_b8_seq1,eyeriss_like,4,4,4,0.00020695578295534171
