network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,4,2,0.4624208162193885
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,1,4,2,3.28599245956726
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,4,2,0.054663951973261495
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,4,2,0.05845971969288613
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,4,2,1.9373910385750777
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,4,2,13.76992058341616
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,4,2,0.22020089742400842
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,4,2,0.22630073901203446
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,4,2,0.3996199905807678
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,1,4,2,1.5828120964523205
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,4,2,0.2186034909885284
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,4,2,0.25905220286282493
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,1,4,2,1.2861567756372152
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,1,4,2,5.217336681516403
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,4,2,0.8699015462168648
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,4,2,1.019550703986104
mobilenet_v3_small_b1_seq1,gemmini_like,1,4,2,0.0002698846885007993
mobilenet_v3_small_b8_seq1,gemmini_like,1,4,2,0.00131908492059667
replknet31b_b1_seq1,gemmini_like,1,4,2,0.019014914952367255
replknet31b_b8_seq1,gemmini_like,1,4,2,0.14678809294026002
