combo,objective,cost_aware,approach,speedup,baseline_energy,spec_energy,energy_overhead,min_speedup_target,draft,verifier
LLaMA8B→70B,energy,False,homo,0.0,,,,2.0,llama3.1_8b,llama3.1_70b
LLaMA8B→70B,energy,False,hetero,3.7102991456428036,1.0251353604805387,1.0518829280547255,0.026091742227727612,2.0,llama3.1_8b,llama3.1_70b
LLaMA8B→Qwen235B,energy,False,homo,2.5017257823642503,0.6779890271213507,0.704817776852684,0.03957106775790242,1.5,llama3.1_8b,qwen3_235b_a22b
LLaMA8B→Qwen235B,energy,False,hetero,2.634967472809373,0.6737862233009133,0.7005170151745295,0.039672511768882174,1.5,llama3.1_8b,qwen3_235b_a22b
Qwen30B→235B,energy,False,homo,0.0,,,,2.0,qwen3_30b_a3b,qwen3_235b_a22b
Qwen30B→235B,energy,False,hetero,0.0,,,,2.0,qwen3_30b_a3b,qwen3_235b_a22b
LLaMA70B→Qwen235B,energy,False,homo,1.1314158254281053,0.670078729585766,0.7741422728443921,0.15530047241308023,1.0,llama3.1_70b,qwen3_235b_a22b
LLaMA70B→Qwen235B,energy,False,hetero,0.0,,,,1.0,llama3.1_70b,qwen3_235b_a22b
LLaMA8B→70B,energy,True,homo,2.929838187993792,80.07455621466161,82.3225152903901,0.028073325435638043,2.0,llama3.1_8b,llama3.1_70b
LLaMA8B→70B,energy,True,hetero,2.768464669768055,112.77955071008903,115.03399413420046,0.019989824484287034,2.0,llama3.1_8b,llama3.1_70b
LLaMA8B→Qwen235B,energy,True,homo,2.1927367428719506,438.4573955772986,440.7194920900096,0.005159216232930949,1.5,llama3.1_8b,qwen3_235b_a22b
LLaMA8B→Qwen235B,energy,True,hetero,1.865320401126332,450.96006363464664,453.308048887887,0.005206636779133159,1.5,llama3.1_8b,qwen3_235b_a22b
Qwen30B→235B,energy,True,homo,2.6081594039512495,444.5335605011162,448.960317050916,0.009958205506035524,2.0,qwen3_30b_a3b,qwen3_235b_a22b
Qwen30B→235B,energy,True,hetero,2.3591444491880567,451.04742487127714,454.6314187088584,0.007945935704220202,2.0,qwen3_30b_a3b,qwen3_235b_a22b
LLaMA70B→Qwen235B,energy,True,homo,0.0,,,,1.0,llama3.1_70b,qwen3_235b_a22b
LLaMA70B→Qwen235B,energy,True,hetero,1.6298609579956849,51.88112362709927,455.71223765639957,7.7837773316529635,1.0,llama3.1_70b,qwen3_235b_a22b
