network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,1,3,38.675353469542564
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,1,1,3,496.99566506335697
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,1,3,5.167773721326872
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,1,3,16.19625424306434
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,1,3,168.8370973811452
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,1,3,1775.0491533192792
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,1,3,19.77313990309261
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,1,3,49.06382805273509
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,1,3,34.74896290725425
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,1,1,3,367.67801351469484
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,1,3,21.863446154802986
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,1,3,63.20092965453327
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,1,1,3,130.74901284716373
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,1,1,3,1100.2293260951178
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,1,3,89.65732949382347
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,1,3,219.37007669380847
mobilenet_v3_small_b1_seq1,gemmini_like,1,1,3,0.026250802950146437
mobilenet_v3_small_b8_seq1,gemmini_like,1,1,3,0.1781088958991692
replknet31b_b1_seq1,gemmini_like,1,1,3,1.6835097572943
replknet31b_b8_seq1,gemmini_like,1,1,3,11.634599951318478
