network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,0.461687975833038
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,3.3767005434193096
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.056466590292004695
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,0.0682701473732484
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,1.7297738318026687
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,13.195172685260363
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.21556327622395863
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,0.24489481707280156
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,0.36965757541988603
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,1.674655190960601
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.22019499103570353
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,0.2757579569803947
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,1.3253360843787605
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,5.8321514947374
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.8754532676040805
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,1.0645370091532427
mobilenet_v3_small_b1_seq1,gemmini_like,1,3,3,0.00023800991022000578
mobilenet_v3_small_b8_seq1,gemmini_like,1,3,3,0.0013024224218639695
replknet31b_b1_seq1,gemmini_like,1,3,3,0.02192876845578654
replknet31b_b8_seq1,gemmini_like,1,3,3,0.1595074072095839
