network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy
llama3.1_8b_prefill_s1024_b1_seq1024,eyeriss_like,1,1,1,37.34055348693899
llama3.1_8b_prefill_s1024_b8_seq1024,eyeriss_like,1,1,1,578.7123162457327
llama3.1_8b_decode_kv1024_b1_seq1,eyeriss_like,1,1,1,5.416699598930726
llama3.1_8b_decode_kv1024_b8_seq1,eyeriss_like,1,1,1,13.602852269899909
llama3.1_70b_prefill_s1024_b1_seq1024,eyeriss_like,1,1,1,146.5033071819895
llama3.1_70b_prefill_s1024_b8_seq1024,eyeriss_like,1,1,1,2145.2963198157695
llama3.1_70b_decode_kv1024_b1_seq1,eyeriss_like,1,1,1,20.857305675557114
llama3.1_70b_decode_kv1024_b8_seq1,eyeriss_like,1,1,1,52.434804248785255
qwen3_30b_a3b_prefill_s1024_b1_seq1024,eyeriss_like,1,1,1,36.535731139436635
qwen3_30b_a3b_prefill_s1024_b8_seq1024,eyeriss_like,1,1,1,518.0317133079732
qwen3_30b_a3b_decode_kv1024_b1_seq1,eyeriss_like,1,1,1,23.236338070471547
qwen3_30b_a3b_decode_kv1024_b8_seq1,eyeriss_like,1,1,1,76.65239170099464
qwen3_235b_a22b_prefill_s1024_b1_seq1024,eyeriss_like,1,1,1,139.06885053954593
qwen3_235b_a22b_prefill_s1024_b8_seq1024,eyeriss_like,1,1,1,1727.3485595314203
qwen3_235b_a22b_decode_kv1024_b1_seq1,eyeriss_like,1,1,1,90.81925957059423
qwen3_235b_a22b_decode_kv1024_b8_seq1,eyeriss_like,1,1,1,238.8081990823971
mobilenet_v3_small_b1_seq1,eyeriss_like,1,1,1,0.02355008955326089
mobilenet_v3_small_b8_seq1,eyeriss_like,1,1,1,0.09458926093742327
replknet31b_b1_seq1,eyeriss_like,1,1,1,0.9936362071498173
replknet31b_b8_seq1,eyeriss_like,1,1,1,5.569717581197316
