network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp
llama3.1_8b_prefill_s1024_b1_seq1024,eyeriss_like,9,4,4,0.0003447305958115271
llama3.1_8b_prefill_s1024_b8_seq1024,eyeriss_like,9,4,4,0.014655058453542947
llama3.1_8b_decode_kv1024_b1_seq1,eyeriss_like,9,4,4,2.3109736251275785e-05
llama3.1_8b_decode_kv1024_b8_seq1,eyeriss_like,9,4,4,2.8881952665024257e-05
llama3.1_70b_prefill_s1024_b1_seq1024,eyeriss_like,9,4,4,0.005291719125220666
llama3.1_70b_prefill_s1024_b8_seq1024,eyeriss_like,9,4,4,0.22042823034634748
llama3.1_70b_decode_kv1024_b1_seq1,eyeriss_like,9,4,4,0.0003727889112859156
llama3.1_70b_decode_kv1024_b8_seq1,eyeriss_like,9,4,4,0.000439579874198271
qwen3_30b_a3b_prefill_s1024_b1_seq1024,eyeriss_like,9,4,4,1.584961698266103e-05
qwen3_30b_a3b_prefill_s1024_b8_seq1024,eyeriss_like,9,4,4,0.0003997772300041708
qwen3_30b_a3b_decode_kv1024_b1_seq1,eyeriss_like,9,4,4,1.357260725084742e-06
qwen3_30b_a3b_decode_kv1024_b8_seq1,eyeriss_like,9,4,4,8.73403704617366e-05
qwen3_235b_a22b_prefill_s1024_b1_seq1024,eyeriss_like,9,4,4,0.00010165711903171223
qwen3_235b_a22b_prefill_s1024_b8_seq1024,eyeriss_like,9,4,4,0.007611958308955692
qwen3_235b_a22b_decode_kv1024_b1_seq1,eyeriss_like,9,4,4,2.0462350828181523e-05
qwen3_235b_a22b_decode_kv1024_b8_seq1,eyeriss_like,9,4,4,0.0013311236017302225
mobilenet_v3_small_b1_seq1,eyeriss_like,9,4,4,3.0583847412221127e-10
mobilenet_v3_small_b8_seq1,eyeriss_like,9,4,4,1.6557475025305784e-08
replknet31b_b1_seq1,eyeriss_like,9,4,4,6.747263420039678e-07
replknet31b_b8_seq1,eyeriss_like,9,4,4,3.9605620478373296e-05
