network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,0.462736539033038
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,3.23103784883024
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.0567659654800047
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,0.06014896147510364
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,1.7302397758026686
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,12.861732562706722
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.21549481163195863
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,0.23165360377274186
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,0.36889777617654385
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,1.4100402133709864
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.2156044131142305
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,0.25840019837467476
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,1.3116966628845206
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,5.293545720778963
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.8565745485821318
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,1.0183477647728487
mobilenet_v3_small_b1_seq1,gemmini_like,1,3,3,8.061691393729833e-05
mobilenet_v3_small_b8_seq1,gemmini_like,1,3,3,0.0006860908320288068
replknet31b_b1_seq1,gemmini_like,1,3,3,0.005500808940649743
replknet31b_b8_seq1,gemmini_like,1,3,3,0.03488091335008148
