network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp
llama3.1_8b_prefill_s1024_b1_seq1024,eyeriss_like,9,4,4,0.000348580228769404
llama3.1_8b_prefill_s1024_b8_seq1024,eyeriss_like,9,4,4,0.0140439023143951
llama3.1_8b_decode_kv1024_b1_seq1,eyeriss_like,9,4,4,2.4314229579111237e-05
llama3.1_8b_decode_kv1024_b8_seq1,eyeriss_like,9,4,4,3.058226721060498e-05
llama3.1_70b_prefill_s1024_b1_seq1024,eyeriss_like,9,4,4,0.005297656504845879
llama3.1_70b_prefill_s1024_b8_seq1024,eyeriss_like,9,4,4,0.22464216742171586
llama3.1_70b_decode_kv1024_b1_seq1,eyeriss_like,9,4,4,0.00040975978903939214
llama3.1_70b_decode_kv1024_b8_seq1,eyeriss_like,9,4,4,0.00048715387476526596
qwen3_30b_a3b_prefill_s1024_b1_seq1024,eyeriss_like,9,4,4,0.0010714545522405151
qwen3_30b_a3b_prefill_s1024_b8_seq1024,eyeriss_like,9,4,4,0.005485050790213766
qwen3_30b_a3b_decode_kv1024_b1_seq1,eyeriss_like,9,4,4,0.0006710010674240359
qwen3_30b_a3b_decode_kv1024_b8_seq1,eyeriss_like,9,4,4,0.0009986716852638134
qwen3_235b_a22b_prefill_s1024_b1_seq1024,eyeriss_like,9,4,4,0.015503911390876073
qwen3_235b_a22b_prefill_s1024_b8_seq1024,eyeriss_like,9,4,4,0.07877471241575293
qwen3_235b_a22b_decode_kv1024_b1_seq1,eyeriss_like,9,4,4,0.010708604963073734
qwen3_235b_a22b_decode_kv1024_b8_seq1,eyeriss_like,9,4,4,0.015735448832660613
mobilenet_v3_small_b1_seq1,eyeriss_like,9,4,4,3.019250901862113e-10
mobilenet_v3_small_b8_seq1,eyeriss_like,9,4,4,1.6497462923673786e-08
replknet31b_b1_seq1,eyeriss_like,9,4,4,6.747263420039678e-07
replknet31b_b8_seq1,eyeriss_like,9,4,4,3.9605620478373296e-05
