net_name,layer_name,fused_layer_type,in_mem,weight_mem,out_mem,operations,tp,batch_size,sequence_length
comparison_tmp,layer2_layer1_0_conv1,end,0.0,1e-09,0.003211264,205520896,2,32,1
comparison_tmp,layer2_layer1_0_conv1,single,1e-09,1e-09,0.003211264,205520896,2,32,1
comparison_tmp,layer3_layer1_0_conv2,start,1e-09,1e-09,0.0,115605504,1,1,1
comparison_tmp,layer3_layer1_0_conv2,middle,0.0,1e-09,0.0,115605504,1,1,1
comparison_tmp,layer3_layer1_0_conv2,end,0.0,1e-09,0.000200704,115605504,1,1,1
comparison_tmp,layer3_layer1_0_conv2,single,1e-09,1e-09,0.000200704,115605504,1,1,1
comparison_tmp,layer3_layer1_0_conv2,start,1e-09,1e-09,0.0,3699376128,1,32,1
comparison_tmp,layer3_layer1_0_conv2,middle,0.0,1e-09,0.0,3699376128,1,32,1
comparison_tmp,layer3_layer1_0_conv2,end,0.0,1e-09,0.006422528,3699376128,1,32,1
comparison_tmp,layer3_layer1_0_conv2,single,1e-09,1e-09,0.006422528,3699376128,1,32,1
comparison_tmp,layer3_layer1_0_conv2,start,1e-09,1e-09,0.0,57802752,2,1,1
comparison_tmp,layer3_layer1_0_conv2,middle,0.0,1e-09,0.0,57802752,2,1,1
comparison_tmp,layer3_layer1_0_conv2,end,0.0,1e-09,0.000100352,57802752,2,1,1
comparison_tmp,layer3_layer1_0_conv2,single,1e-09,1e-09,0.000100352,57802752,2,1,1
comparison_tmp,layer3_layer1_0_conv2,start,1e-09,1e-09,0.0,1849688064,2,32,1
comparison_tmp,layer3_layer1_0_conv2,middle,0.0,1e-09,0.0,1849688064,2,32,1
comparison_tmp,layer3_layer1_0_conv2,end,0.0,1e-09,0.003211264,1849688064,2,32,1
comparison_tmp,layer3_layer1_0_conv2,single,1e-09,1e-09,0.003211264,1849688064,2,32,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,start,1e-09,1e-09,0.0,385753088,1,1,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,middle,0.0,1e-09,0.0,385753088,1,1,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,end,0.0,1e-09,0.000401408,385753088,1,1,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,single,1e-09,1e-09,0.000401408,385753088,1,1,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,start,1e-09,1e-09,0.0,12344098816,1,32,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,middle,0.0,1e-09,0.0,12344098816,1,32,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,end,0.0,1e-09,0.012845056,12344098816,1,32,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,single,1e-09,1e-09,0.012845056,12344098816,1,32,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,start,1e-09,1e-09,0.0,385753088,2,1,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,middle,0.0,1e-09,0.0,385753088,2,1,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,end,0.0,1e-09,0.000401408,385753088,2,1,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,single,1e-09,1e-09,0.000401408,385753088,2,1,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,start,1e-09,1e-09,0.0,12344098816,2,32,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,middle,0.0,1e-09,0.0,12344098816,2,32,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,end,0.0,1e-09,0.012845056,12344098816,2,32,1
comparison_tmp,layer6_stages_0_blocks_0_large_kernel_lkb_origin_conv,single,1e-09,1e-09,0.012845056,12344098816,2,32,1
efficientnet_b0,layer1_features_0_0,start,1e-09,1e-09,0.0,10838016,1,1,1
efficientnet_b0,layer1_features_0_0,middle,0.0,1e-09,0.0,10838016,1,1,1
efficientnet_b0,layer1_features_0_0,end,0.0,1e-09,0.000401408,10838016,1,1,1
efficientnet_b0,layer1_features_0_0,single,1e-09,1e-09,0.000401408,10838016,1,1,1
efficientnet_b0,layer1_features_0_0,start,1e-09,1e-09,0.0,346816512,1,32,1
efficientnet_b0,layer1_features_0_0,middle,0.0,1e-09,0.0,346816512,1,32,1
efficientnet_b0,layer1_features_0_0,end,0.0,1e-09,0.012845056,346816512,1,32,1
efficientnet_b0,layer1_features_0_0,single,1e-09,1e-09,0.012845056,346816512,1,32,1
efficientnet_b0,layer1_features_0_0,start,1e-09,1e-09,0.0,5419008,2,1,1
efficientnet_b0,layer1_features_0_0,middle,0.0,1e-09,0.0,5419008,2,1,1
efficientnet_b0,layer1_features_0_0,end,0.0,1e-09,0.000200704,5419008,2,1,1
efficientnet_b0,layer1_features_0_0,single,1e-09,1e-09,0.000200704,5419008,2,1,1
efficientnet_b0,layer1_features_0_0,start,1e-09,1e-09,0.0,173408256,2,32,1
efficientnet_b0,layer1_features_0_0,middle,0.0,1e-09,0.0,173408256,2,32,1
efficientnet_b0,layer1_features_0_0,end,0.0,1e-09,0.006422528,173408256,2,32,1
efficientnet_b0,layer1_features_0_0,single,1e-09,1e-09,0.006422528,173408256,2,32,1
efficientnet_b0,layer2_features_1_0_block_0_0,start,1e-09,1e-09,0.0,3612672,1,1,1
efficientnet_b0,layer2_features_1_0_block_0_0,middle,0.0,1e-09,0.0,3612672,1,1,1
efficientnet_b0,layer2_features_1_0_block_0_0,end,0.0,1e-09,0.000401408,3612672,1,1,1
efficientnet_b0,layer2_features_1_0_block_0_0,single,1e-09,1e-09,0.000401408,3612672,1,1,1
efficientnet_b0,layer2_features_1_0_block_0_0,start,1e-09,1e-09,0.0,115605504,1,32,1
efficientnet_b0,layer2_features_1_0_block_0_0,middle,0.0,1e-09,0.0,115605504,1,32,1
efficientnet_b0,layer2_features_1_0_block_0_0,end,0.0,1e-09,0.012845056,115605504,1,32,1
efficientnet_b0,layer2_features_1_0_block_0_0,single,1e-09,1e-09,0.012845056,115605504,1,32,1
efficientnet_b0,layer2_features_1_0_block_0_0,start,1e-09,1e-09,0.0,3612672,2,1,1
efficientnet_b0,layer2_features_1_0_block_0_0,middle,0.0,1e-09,0.0,3612672,2,1,1
efficientnet_b0,layer2_features_1_0_block_0_0,end,0.0,1e-09,0.000401408,3612672,2,1,1
efficientnet_b0,layer2_features_1_0_block_0_0,single,1e-09,1e-09,0.000401408,3612672,2,1,1
efficientnet_b0,layer2_features_1_0_block_0_0,start,1e-09,1e-09,0.0,115605504,2,32,1
