eval,value,best_value,eval_time
1,9.776241066881161e-06,9.776241066881161e-06,6.615835438700839
2,1.382869225904342e-05,9.776241066881161e-06,6.615835438700839
3,3.0104273025872745e-05,9.776241066881161e-06,6.615835438700839
4,1.0080005186481346e-05,9.776241066881161e-06,6.615835438700839
5,3.759961692106939e-05,9.776241066881161e-06,6.615835438700839
6,2.9297653113913633e-05,9.776241066881161e-06,6.615835438700839
7,1.2053584772428686e-05,9.776241066881161e-06,6.615835438700839
8,9.565164877051835e-06,9.565164877051835e-06,6.615835438700839
9,1.1518182722761615e-05,9.565164877051835e-06,6.615835438700839
10,1.6403465275449708e-05,9.565164877051835e-06,6.615835438700839
11,1.305609162498051e-05,9.565164877051835e-06,6.615835438700839
12,inf,9.565164877051835e-06,6.615835438700839
13,1.07984778154062e-05,9.565164877051835e-06,6.615835438700839
14,2.7521581389718845e-05,9.565164877051835e-06,6.615835438700839
15,inf,9.565164877051835e-06,6.615835438700839
16,1.07984778154062e-05,9.565164877051835e-06,6.615835438700839
17,inf,9.565164877051835e-06,6.615835438700839
18,1.1742749230369844e-05,9.565164877051835e-06,6.615835438700839
19,1.742419732899011e-05,9.565164877051835e-06,6.615835438700839
20,inf,9.565164877051835e-06,6.615835438700839
21,2.6082550969600996e-05,9.565164877051835e-06,6.615835438700839
22,1.6992455373392984e-05,9.565164877051835e-06,6.615835438700839
23,2.0985707094125693e-05,9.565164877051835e-06,6.615835438700839
24,inf,9.565164877051835e-06,6.615835438700839
25,3.747034303739924e-05,9.565164877051835e-06,6.615835438700839
26,1.5865905628209775e-05,9.565164877051835e-06,6.615835438700839
27,3.463393050321575e-05,9.565164877051835e-06,6.615835438700839
28,inf,9.565164877051835e-06,6.615835438700839
29,inf,9.565164877051835e-06,6.615835438700839
30,inf,9.565164877051835e-06,6.615835438700839
31,2.754154688783218e-05,9.565164877051835e-06,6.615835438700839
32,inf,9.565164877051835e-06,6.615835438700839
33,6.7717252996524e-05,9.565164877051835e-06,6.615835438700839
34,5.736840047878171e-05,9.565164877051835e-06,6.615835438700839
35,inf,9.565164877051835e-06,6.615835438700839
36,inf,9.565164877051835e-06,6.615835438700839
37,3.9272118541702014e-05,9.565164877051835e-06,6.615835438700839
38,4.126100382960643e-05,9.565164877051835e-06,6.615835438700839
39,1.4696380780423561e-05,9.565164877051835e-06,6.615835438700839
40,inf,9.565164877051835e-06,6.615835438700839
41,1.1459266429022602e-05,9.565164877051835e-06,6.615835438700839
42,2.3102352609891498e-05,9.565164877051835e-06,6.615835438700839
43,2.8838827215522295e-05,9.565164877051835e-06,6.615835438700839
44,1.1729050002036436e-05,9.565164877051835e-06,6.615835438700839
45,inf,9.565164877051835e-06,6.615835438700839
46,1.2314467650715874e-05,9.565164877051835e-06,6.615835438700839
47,2.3875742576436486e-05,9.565164877051835e-06,6.615835438700839
48,inf,9.565164877051835e-06,6.615835438700839
49,1.1378832337249337e-05,9.565164877051835e-06,6.615835438700839
50,1.3055430533529598e-05,9.565164877051835e-06,6.615835438700839
51,inf,9.565164877051835e-06,6.615835438700839
52,2.5968243591813488e-05,9.565164877051835e-06,6.615835438700839
53,3.323475964570081e-05,9.565164877051835e-06,6.615835438700839
54,1.07984778154062e-05,9.565164877051835e-06,6.615835438700839
55,1.5661229790664234e-05,9.565164877051835e-06,6.615835438700839
56,inf,9.565164877051835e-06,6.615835438700839
57,1.1724121424817683e-05,9.565164877051835e-06,6.615835438700839
58,1.5704372483149716e-05,9.565164877051835e-06,6.615835438700839
59,inf,9.565164877051835e-06,6.615835438700839
60,1.3603961311363125e-05,9.565164877051835e-06,6.615835438700839
61,1.1378716588628064e-05,9.565164877051835e-06,6.615835438700839
62,inf,9.565164877051835e-06,6.615835438700839
63,2.0900526202707028e-05,9.565164877051835e-06,6.615835438700839
64,2.2934206955544086e-05,9.565164877051835e-06,6.615835438700839
65,1.5380050815229657e-05,9.565164877051835e-06,6.615835438700839
66,inf,9.565164877051835e-06,6.615835438700839
67,1.535938092851717e-05,9.565164877051835e-06,6.615835438700839
