eval,value,best_value,eval_time
1,8.430315335374715e-06,8.430315335374715e-06,11.553007787529754
2,1.3264191299070555e-05,8.430315335374715e-06,11.553007787529754
3,5.4365027019279824e-05,8.430315335374715e-06,11.553007787529754
4,1.6379774989494674e-05,8.430315335374715e-06,11.553007787529754
5,1.444210718534852e-05,8.430315335374715e-06,11.553007787529754
6,1.497636437260181e-05,8.430315335374715e-06,11.553007787529754
7,1.8915205710948758e-05,8.430315335374715e-06,11.553007787529754
8,1.6904728116497243e-05,8.430315335374715e-06,11.553007787529754
9,1.142756269523778e-05,8.430315335374715e-06,11.553007787529754
10,1.8147463824684465e-05,8.430315335374715e-06,11.553007787529754
11,2.1857147304087643e-05,8.430315335374715e-06,11.553007787529754
12,1.265339327432536e-05,8.430315335374715e-06,11.553007787529754
13,3.1735872980269006e-05,8.430315335374715e-06,11.553007787529754
14,5.122589602427842e-05,8.430315335374715e-06,11.553007787529754
15,3.1736214072629275e-05,8.430315335374715e-06,11.553007787529754
16,1.1958887409601668e-05,8.430315335374715e-06,11.553007787529754
17,2.017403935307961e-05,8.430315335374715e-06,11.553007787529754
18,1.251693045373413e-05,8.430315335374715e-06,11.553007787529754
19,2.7308788009918145e-05,8.430315335374715e-06,11.553007787529754
20,1.1553609859338293e-05,8.430315335374715e-06,11.553007787529754
21,1.3711251362848516e-05,8.430315335374715e-06,11.553007787529754
22,1.3711251362848516e-05,8.430315335374715e-06,11.553007787529754
23,1.7757862766098608e-05,8.430315335374715e-06,11.553007787529754
24,1.6735707385551107e-05,8.430315335374715e-06,11.553007787529754
25,1.9706005355021033e-05,8.430315335374715e-06,11.553007787529754
26,2.074302438722616e-05,8.430315335374715e-06,11.553007787529754
27,4.1255467035065126e-05,8.430315335374715e-06,11.553007787529754
28,1.8292545228552225e-05,8.430315335374715e-06,11.553007787529754
29,3.826321464849314e-05,8.430315335374715e-06,11.553007787529754
30,1.679286457126973e-05,8.430315335374715e-06,11.553007787529754
31,3.8404751610540537e-05,8.430315335374715e-06,11.553007787529754
32,2.844196652421119e-05,8.430315335374715e-06,11.553007787529754
33,1.639726539081163e-05,8.430315335374715e-06,11.553007787529754
34,1.826563567586909e-05,8.430315335374715e-06,11.553007787529754
35,1.8826610276063217e-05,8.430315335374715e-06,11.553007787529754
36,4.1255467035065126e-05,8.430315335374715e-06,11.553007787529754
37,2.3172710221511313e-05,8.430315335374715e-06,11.553007787529754
38,2.5381304415043103e-05,8.430315335374715e-06,11.553007787529754
39,2.0743282867908748e-05,8.430315335374715e-06,11.553007787529754
40,1.4649267098752278e-05,8.430315335374715e-06,11.553007787529754
41,3.176162976706998e-05,8.430315335374715e-06,11.553007787529754
42,1.4054728261117423e-05,8.430315335374715e-06,11.553007787529754
43,2.6180635420187106e-05,8.430315335374715e-06,11.553007787529754
44,4.125592412662321e-05,8.430315335374715e-06,11.553007787529754
45,1.57900617889284e-05,8.430315335374715e-06,11.553007787529754
46,1.2291820592567058e-05,8.430315335374715e-06,11.553007787529754
47,1.6009835113930634e-05,8.430315335374715e-06,11.553007787529754
48,3.4621724272487206e-05,8.430315335374715e-06,11.553007787529754
49,2.6843590833917e-05,8.430315335374715e-06,11.553007787529754
50,3.463425312319761e-05,8.430315335374715e-06,11.553007787529754
51,1.098918643513842e-05,8.430315335374715e-06,11.553007787529754
52,1.0948286294582612e-05,8.430315335374715e-06,11.553007787529754
53,1.0370763932931991e-05,8.430315335374715e-06,11.553007787529754
54,1.0996265127648308e-05,8.430315335374715e-06,11.553007787529754
55,1.177719509275528e-05,8.430315335374715e-06,11.553007787529754
