eval,value,best_value,eval_time
1,7.109454890247419,7.109454890247419,5.517739198463318
2,inf,7.109454890247419,5.517739198463318
3,16.185335726607267,7.109454890247419,5.517739198463318
4,28.982972712228108,7.109454890247419,5.517739198463318
5,inf,7.109454890247419,5.517739198463318
6,9.732551668763284,7.109454890247419,5.517739198463318
7,inf,7.109454890247419,5.517739198463318
8,inf,7.109454890247419,5.517739198463318
9,25.6016283126875,7.109454890247419,5.517739198463318
10,8.380106263639144,7.109454890247419,5.517739198463318
11,inf,7.109454890247419,5.517739198463318
12,7.11201209741166,7.109454890247419,5.517739198463318
13,12.849017754158497,7.109454890247419,5.517739198463318
14,15.093957065348416,7.109454890247419,5.517739198463318
15,10.312184746207606,7.109454890247419,5.517739198463318
16,inf,7.109454890247419,5.517739198463318
17,inf,7.109454890247419,5.517739198463318
18,8.031981343606807,7.109454890247419,5.517739198463318
19,9.706601134351908,7.109454890247419,5.517739198463318
20,inf,7.109454890247419,5.517739198463318
21,8.868243355134334,7.109454890247419,5.517739198463318
22,inf,7.109454890247419,5.517739198463318
23,8.953050154155001,7.109454890247419,5.517739198463318
24,11.56124897357981,7.109454890247419,5.517739198463318
25,54.08873529711605,7.109454890247419,5.517739198463318
26,10.825983681180134,7.109454890247419,5.517739198463318
27,11.337581499083305,7.109454890247419,5.517739198463318
28,12.632487694277033,7.109454890247419,5.517739198463318
29,16.13468665526631,7.109454890247419,5.517739198463318
30,inf,7.109454890247419,5.517739198463318
31,8.979576118288133,7.109454890247419,5.517739198463318
32,12.81805454643947,7.109454890247419,5.517739198463318
33,7.5919510846264995,7.109454890247419,5.517739198463318
34,inf,7.109454890247419,5.517739198463318
35,inf,7.109454890247419,5.517739198463318
36,10.79110213971415,7.109454890247419,5.517739198463318
37,10.087320504873306,7.109454890247419,5.517739198463318
38,inf,7.109454890247419,5.517739198463318
39,19.63891235166516,7.109454890247419,5.517739198463318
40,7.413067563589343,7.109454890247419,5.517739198463318
41,inf,7.109454890247419,5.517739198463318
42,inf,7.109454890247419,5.517739198463318
43,7.11201209741166,7.109454890247419,5.517739198463318
44,18.56094550371981,7.109454890247419,5.517739198463318
45,10.63915113098686,7.109454890247419,5.517739198463318
46,10.373163505034636,7.109454890247419,5.517739198463318
47,8.375611624388052,7.109454890247419,5.517739198463318
48,inf,7.109454890247419,5.517739198463318
49,8.816133772811778,7.109454890247419,5.517739198463318
50,24.583649399023162,7.109454890247419,5.517739198463318
51,7.125679770495447,7.109454890247419,5.517739198463318
52,10.47549173289108,7.109454890247419,5.517739198463318
53,7.216023755740187,7.109454890247419,5.517739198463318
54,7.112574197809504,7.109454890247419,5.517739198463318
55,8.345470066375102,7.109454890247419,5.517739198463318
56,inf,7.109454890247419,5.517739198463318
57,7.4288180658893035,7.109454890247419,5.517739198463318
58,inf,7.109454890247419,5.517739198463318
59,10.47549173289108,7.109454890247419,5.517739198463318
60,10.610735992941276,7.109454890247419,5.517739198463318
61,inf,7.109454890247419,5.517739198463318
62,14.83651254761111,7.109454890247419,5.517739198463318
63,7.6033311916148065,7.109454890247419,5.517739198463318
64,11.392132925774193,7.109454890247419,5.517739198463318
65,11.885283313206445,7.109454890247419,5.517739198463318
66,inf,7.109454890247419,5.517739198463318
67,8.014270243611886,7.109454890247419,5.517739198463318
68,10.650245618199792,7.109454890247419,5.517739198463318
69,7.655819462598038,7.109454890247419,5.517739198463318
70,inf,7.109454890247419,5.517739198463318
71,10.617358685481532,7.109454890247419,5.517739198463318
72,15.653106707710526,7.109454890247419,5.517739198463318
73,7.595488291388954,7.109454890247419,5.517739198463318
74,10.359134232762193,7.109454890247419,5.517739198463318
75,7.670529203532193,7.109454890247419,5.517739198463318
76,8.019673587853104,7.109454890247419,5.517739198463318
77,11.573899946933452,7.109454890247419,5.517739198463318
78,50.17291155395203,7.109454890247419,5.517739198463318
79,9.94959665194043,7.109454890247419,5.517739198463318
80,30.535668599660482,7.109454890247419,5.517739198463318
81,12.516907021372786,7.109454890247419,5.517739198463318
82,10.98121768074802,7.109454890247419,5.517739198463318
