eval,value,best_value,eval_time
1,1.0589863030043893e-05,1.0589863030043893e-05,0.8980847547994927
2,2.650380111177322e-05,1.0589863030043893e-05,0.8980847547994927
3,1.1462547506894849e-05,1.0589863030043893e-05,0.8980847547994927
4,1.0387877735994175e-05,1.0387877735994175e-05,0.8980847547994927
5,3.101661564898272e-05,1.0387877735994175e-05,0.8980847547994927
6,3.9134094591124865e-05,1.0387877735994175e-05,0.8980847547994927
7,1.3037939567703375e-05,1.0387877735994175e-05,0.8980847547994927
8,2.798016476362548e-05,1.0387877735994175e-05,0.8980847547994927
9,3.636894614011853e-05,1.0387877735994175e-05,0.8980847547994927
10,2.3133241720813155e-05,1.0387877735994175e-05,0.8980847547994927
11,4.0028524838272536e-05,1.0387877735994175e-05,0.8980847547994927
12,4.641931716050501e-05,1.0387877735994175e-05,0.8980847547994927
13,2.8953906193582228e-05,1.0387877735994175e-05,0.8980847547994927
14,1.3145256938519672e-05,1.0387877735994175e-05,0.8980847547994927
15,3.2912657438232854e-05,1.0387877735994175e-05,0.8980847547994927
16,1.6926576476940765e-05,1.0387877735994175e-05,0.8980847547994927
17,2.2208150087536896e-05,1.0387877735994175e-05,0.8980847547994927
18,3.2166053213147474e-05,1.0387877735994175e-05,0.8980847547994927
19,6.545414586848431e-05,1.0387877735994175e-05,0.8980847547994927
20,3.599954424623706e-05,1.0387877735994175e-05,0.8980847547994927
21,4.283171650161296e-05,1.0387877735994175e-05,0.8980847547994927
22,0.00014350233903328568,1.0387877735994175e-05,0.8980847547994927
23,4.4216520071939315e-05,1.0387877735994175e-05,0.8980847547994927
24,4.273638709574065e-05,1.0387877735994175e-05,0.8980847547994927
25,inf,1.0387877735994175e-05,0.8980847547994927
26,4.762232975607383e-05,1.0387877735994175e-05,0.8980847547994927
27,4.306222725584732e-05,1.0387877735994175e-05,0.8980847547994927
28,7.197161356547626e-05,1.0387877735994175e-05,0.8980847547994927
29,0.00010788886159934731,1.0387877735994175e-05,0.8980847547994927
30,9.715482576148234e-05,1.0387877735994175e-05,0.8980847547994927
31,2.628946540278371e-05,1.0387877735994175e-05,0.8980847547994927
32,inf,1.0387877735994175e-05,0.8980847547994927
33,3.8492396693364e-05,1.0387877735994175e-05,0.8980847547994927
34,3.3241126385411104e-05,1.0387877735994175e-05,0.8980847547994927
35,4.41013084297165e-05,1.0387877735994175e-05,0.8980847547994927
36,3.666481569322089e-05,1.0387877735994175e-05,0.8980847547994927
37,2.5959341898204653e-05,1.0387877735994175e-05,0.8980847547994927
38,4.1925532031428864e-05,1.0387877735994175e-05,0.8980847547994927
39,1.6137156156779596e-05,1.0387877735994175e-05,0.8980847547994927
40,4.6740965578050624e-05,1.0387877735994175e-05,0.8980847547994927
41,2.8734018962431268e-05,1.0387877735994175e-05,0.8980847547994927
