eval,value,best_value,eval_time
1,1.434701804161216e-05,1.434701804161216e-05,0.6219500137101859
2,1.8237684587813302e-05,1.434701804161216e-05,0.6219500137101859
3,3.25002178939795e-05,1.434701804161216e-05,0.6219500137101859
4,1.434701804161216e-05,1.434701804161216e-05,0.6219500137101859
5,2.8676947513232457e-05,1.434701804161216e-05,0.6219500137101859
6,1.512688837296914e-05,1.434701804161216e-05,0.6219500137101859
7,4.641931716050501e-05,1.434701804161216e-05,0.6219500137101859
8,0.00012055082894753882,1.434701804161216e-05,0.6219500137101859
9,3.196407718672518e-05,1.434701804161216e-05,0.6219500137101859
10,6.635210445257832e-05,1.434701804161216e-05,0.6219500137101859
11,2.6013752942819062e-05,1.434701804161216e-05,0.6219500137101859
12,5.9115837244684605e-05,1.434701804161216e-05,0.6219500137101859
13,4.51193545089938e-05,1.434701804161216e-05,0.6219500137101859
14,4.967836476359355e-05,1.434701804161216e-05,0.6219500137101859
15,0.00012457615947189695,1.434701804161216e-05,0.6219500137101859
16,1.857566729408783e-05,1.434701804161216e-05,0.6219500137101859
17,8.56632570236394e-05,1.434701804161216e-05,0.6219500137101859
18,6.474408350698362e-05,1.434701804161216e-05,0.6219500137101859
19,6.339361815084686e-05,1.434701804161216e-05,0.6219500137101859
20,6.640924495251236e-05,1.434701804161216e-05,0.6219500137101859
21,1.8249945057519144e-05,1.434701804161216e-05,0.6219500137101859
22,4.64805663149001e-05,1.434701804161216e-05,0.6219500137101859
23,4.461394998744719e-05,1.434701804161216e-05,0.6219500137101859
24,2.3358879798864786e-05,1.434701804161216e-05,0.6219500137101859
25,3.233308613899239e-05,1.434701804161216e-05,0.6219500137101859
26,8.006626073478182e-05,1.434701804161216e-05,0.6219500137101859
27,4.654019075488813e-05,1.434701804161216e-05,0.6219500137101859
28,6.545414586848431e-05,1.434701804161216e-05,0.6219500137101859
29,3.599954424623706e-05,1.434701804161216e-05,0.6219500137101859
30,0.00011621241148174315,1.434701804161216e-05,0.6219500137101859
31,inf,1.434701804161216e-05,0.6219500137101859
32,0.00014350233903328568,1.434701804161216e-05,0.6219500137101859
33,4.4216520071939315e-05,1.434701804161216e-05,0.6219500137101859
34,inf,1.434701804161216e-05,0.6219500137101859
35,4.273638709574065e-05,1.434701804161216e-05,0.6219500137101859
36,inf,1.434701804161216e-05,0.6219500137101859
37,6.512329601986543e-05,1.434701804161216e-05,0.6219500137101859
38,9.014550008078575e-05,1.434701804161216e-05,0.6219500137101859
39,4.306222725584732e-05,1.434701804161216e-05,0.6219500137101859
40,0.00018673908149971234,1.434701804161216e-05,0.6219500137101859
41,0.00013619524139163103,1.434701804161216e-05,0.6219500137101859
42,0.00010803033298278946,1.434701804161216e-05,0.6219500137101859
43,0.0001373071705988027,1.434701804161216e-05,0.6219500137101859
