technology,global_cycle_seconds,width|datawidth,width_a|datawidth_a,width_b|datawidth_b,energy(pJ),area(um^2),action,comment
15nm,1e-9,32,32,32,8.34E-01,5.54E+02,multiply|read
15nm,1e-9,32,32,32,1.83E-02,5.54E+02,leak
15nm,1e-9,32,32,32,0,5.54E+02,update|write
40nm,1e-9,32,32,32,12.68,6350,multiply|read
40nm,1e-9,32,32,32,0.08,6350,leak
40nm,1e-9,32,32,32,0,6350,update|write
