Size (KB),Depth (entries),Read Energy per Bit (pJ),Write Energy per Bit (pJ),Update Energy per Bit (pJ),Leakage Energy per 1ns Cycle (pJ),Area (mm²),Bytes per Cycle,Bandwidth at 1 GHz (GB/s)
# SRAM Configuration: 14nm, 64-bit width, 1 read/write ports, 4 banks, 1 GHz
64,8192,0.05013272727272727,0.043412428977272724,0.043412428977272724,2.8481510909090906,0.03442650909090909,32.0,32.0
128,16384,0.07252815340909091,0.059513224431818175,0.059513224431818175,5.587512000000001,0.06258318181818182,32.0,32.0
256,32768,0.09599227272727275,0.08297734375,0.08297734375,11.122941454545456,0.13496636363636363,32.0,32.0
512,65536,0.13150056818181818,0.10740028409090908,0.10740028409090908,20.342758545454547,0.2691277272727272,32.0,32.0
1024,131072,0.18048764204545453,0.1557380681818182,0.1557380681818182,40.54877527272728,0.5391476363636363,32.0,32.0
2048,262144,0.2681049715909091,0.22092258522727273,0.22092258522727273,80.29962181818182,0.9735854545454545,32.0,32.0
