metric,framework,geomean,norm_to_full,decode_norm,decode-MoE_norm,prefill_norm,prefill-MoE_norm,cnn_norm,detail
Energy,Fengshui (Full),0.034787613400963584,1.0,1.0,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260615_151511.json"", ""chiplets"": [""gemmini_like@glb1@pe_x_scale2@pe_y_scale4"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale3@pe_y_scale4"", ""eyeriss_like@glb1@pe_x_scale4@pe_y_scale2"", ""switch_8port@glb1@pe_x_scale4@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale4@pe_y_scale2"", ""simba_like@glb1@pe_x_scale4@pe_y_scale3""]}"
Energy x Cost,Fengshui (Full),4.228451323960812,1.0,1.0,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260615_151513.json"", ""chiplets"": [""gemmini_like@glb1@pe_x_scale1@pe_y_scale3"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale1"", ""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""switch_8port@glb9@pe_x_scale4@pe_y_scale2"", ""gemmini_like@glb4@pe_x_scale2@pe_y_scale3"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb4@pe_x_scale3@pe_y_scale4"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1""]}"
EDP,Fengshui (Full),6.845590972622005e-06,1.0,1.0,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260615_151525.json"", ""chiplets"": [""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale4"", ""simba_like@glb4@pe_x_scale4@pe_y_scale4"", ""switch_8port@glb16@pe_x_scale1@pe_y_scale4"", ""eyeriss_like@glb4@pe_x_scale3@pe_y_scale2"", ""eyeriss_like@glb9@pe_x_scale3@pe_y_scale2"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale3@pe_y_scale4""]}"
EDP x Cost,Fengshui (Full),0.0016142707540849346,1.0,1.0,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260615_151531.json"", ""chiplets"": [""gemmini_like@glb1@pe_x_scale1@pe_y_scale2"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb9@pe_x_scale4@pe_y_scale4"", ""eyeriss_like@glb9@pe_x_scale4@pe_y_scale4"", ""eyeriss_like@glb9@pe_x_scale1@pe_y_scale2"", ""switch_8port@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb4@pe_x_scale3@pe_y_scale4"", ""eyeriss_like@glb4@pe_x_scale3@pe_y_scale1""]}"
