metric,framework,geomean,norm_to_full,decode_norm,decode-MoE_norm,prefill_norm,prefill-MoE_norm,cnn_norm,detail
Energy,Fengshui (Full),0.05162724694955365,1.0,1.0,1.0,1.0,1.0,1.0,
Energy,SCAR-style,0.18154382658759383,3.516434389092742,25.77409243345255,4.319855347380561,1.6515307501848333,2.1660388895785987,1.3499170811947925,
Energy x Cost,Fengshui (Full),5.699492915874692,1.0,1.0,1.0,1.0,1.0,1.0,
Energy x Cost,SCAR-style,42.74796599029926,7.500310399761028,40.680194576051456,9.796910420228267,3.982500705354221,4.373115906538203,3.419614712561297,
EDP,Fengshui (Full),1.0074614479184873e-05,1.0,1.0,1.0,1.0,1.0,1.0,
EDP,SCAR-style,0.0007869104545860742,78.108244857598,3748.5527732936853,264.59711005880274,13.710723876559111,25.279207241222526,8.456912447745971,
EDP x Cost,Fengshui (Full),0.002196464261718785,1.0,1.0,1.0,1.0,1.0,1.0,
EDP x Cost,SCAR-style,0.18454228837349199,84.01788801657227,4387.602798519764,285.38947326293305,12.186013932904412,19.031302530759643,14.416617089966454,
