metric,config,geomean,norm_to_full,decode_norm,prefill_norm,cnn_norm
Energy,Full Fengshui,0.05162692840344393,1.0,1.0,1.0,1.0
Energy,w/o Heterogeneous Memory,0.09100592666382011,1.7627608203347866,4.125565370092926,1.0,1.0
Energy,w/o Tensor Parallelism,0.05244523064528468,1.0158502988100715,1.0,1.040098048926312,1.0
Energy,w/o Layer Fusion,0.060569644060280516,1.173218045957583,1.0044870254497043,1.0222582026274931,2.1080640468453393
Energy x Cost,Full Fengshui,5.699492915874694,1.0,1.0,1.0,1.0
Energy x Cost,w/o Heterogeneous Memory,1331.1608933941238,233.55777663771906,453.7778393319225,139.7166606370155,172.89749525193005
Energy x Cost,w/o Tensor Parallelism,5.702298484783035,1.000492248863145,1.0,1.001231076524402,1.0
Energy x Cost,w/o Layer Fusion,6.943975144653472,1.21834964042372,1.0168116721095792,1.0729532154402803,2.2553662659667584
EDP,Full Fengshui,1.0074675420613363e-05,1.0,1.0,1.0,1.0
EDP,w/o Heterogeneous Memory,3.362636171340053e-05,3.337711669062714,20.35270054286749,1.0,1.0
EDP,w/o Tensor Parallelism,1.404226036442154e-05,1.3938176445556023,1.2184061114630342,1.8824472980695082,1.0
EDP,w/o Layer Fusion,1.0872999587451506e-05,1.079240683546462,1.002206706816077,1.0133305143011688,1.4196284387708502
EDP x Cost,Full Fengshui,0.0022102874774269166,1.0,1.0,1.0,1.0
EDP x Cost,w/o Heterogeneous Memory,0.5068564094307834,229.31696198217392,1323.93050531186,55.67480899474482,116.71671293518615
EDP x Cost,w/o Tensor Parallelism,0.0023585362861515418,1.0670721841564281,1.0482490626637506,1.1220701651903033,1.0
EDP x Cost,w/o Layer Fusion,0.002369167623361637,1.0718821183024025,1.007139607550118,1.008758119790205,1.3708239732400642
