metric,objective,cost_aware,config,network,category,value
Energy,energy,False,homo GDDR7 (PIM kept),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.018919610189435578
Energy,energy,False,homo GDDR7 (PIM kept),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.3276111528615893
Energy,energy,False,homo GDDR7 (PIM kept),mobilenet_v3_small_b1_seq1,cnn,8.609001043368916e-05
Energy,energy,False,homo GDDR7 (PIM kept),mobilenet_v3_small_b8_seq1,cnn,0.000570955510958497
Energy,energy,False,homo GDDR7 (PIM kept),replknet31b_b1_seq1,cnn,0.00317087203770535
Energy,energy,False,homo GDDR7 (PIM kept),replknet31b_b8_seq1,cnn,0.021827090791141927
Energy x Cost,energy,True,Full Fengshui,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,25.878910327365574
Energy x Cost,energy,True,Full Fengshui,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,297.15930241188005
Energy x Cost,energy,True,Full Fengshui,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.2248023697865127
Energy x Cost,energy,True,Full Fengshui,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.269626242242559
Energy x Cost,energy,True,Full Fengshui,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,104.317035104745
Energy x Cost,energy,True,Full Fengshui,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,1056.9935776963478
Energy x Cost,energy,True,Full Fengshui,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6514222728161473
Energy x Cost,energy,True,Full Fengshui,llama3.1_70b_decode_kv1024_b8_seq1,decode,9.896660625646346
Energy x Cost,energy,True,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,6.179438892926344
Energy x Cost,energy,True,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,172.52102294206335
Energy x Cost,energy,True,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.9893063583024703
Energy x Cost,energy,True,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,10.955321684111963
Energy x Cost,energy,True,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,18.037940260286653
Energy x Cost,energy,True,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,391.3279201800253
Energy x Cost,energy,True,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.9330704089580815
Energy x Cost,energy,True,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,37.010506361915716
Energy x Cost,energy,True,Full Fengshui,mobilenet_v3_small_b1_seq1,cnn,0.005563447608246954
Energy x Cost,energy,True,Full Fengshui,mobilenet_v3_small_b8_seq1,cnn,0.035410461891630066
Energy x Cost,energy,True,Full Fengshui,replknet31b_b1_seq1,cnn,0.17697753006515096
Energy x Cost,energy,True,Full Fengshui,replknet31b_b8_seq1,cnn,1.225683204335864
Energy x Cost,energy,True,w/o Heterogeneous Memory,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,3789.3776148875077
Energy x Cost,energy,True,w/o Heterogeneous Memory,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,44702.79508101791
Energy x Cost,energy,True,w/o Heterogeneous Memory,llama3.1_8b_decode_kv1024_b1_seq1,decode,551.9599826316008
Energy x Cost,energy,True,w/o Heterogeneous Memory,llama3.1_8b_decode_kv1024_b8_seq1,decode,1362.1822168022086
Energy x Cost,energy,True,w/o Heterogeneous Memory,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,15235.029705628724
Energy x Cost,energy,True,w/o Heterogeneous Memory,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,145918.19765858847
Energy x Cost,energy,True,w/o Heterogeneous Memory,llama3.1_70b_decode_kv1024_b1_seq1,decode,2165.83910596458
Energy x Cost,energy,True,w/o Heterogeneous Memory,llama3.1_70b_decode_kv1024_b8_seq1,decode,4087.1123610267964
Energy x Cost,energy,True,w/o Heterogeneous Memory,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,802.2990185498066
Energy x Cost,energy,True,w/o Heterogeneous Memory,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,23580.512906058982
Energy x Cost,energy,True,w/o Heterogeneous Memory,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,162.1286819402847
Energy x Cost,energy,True,w/o Heterogeneous Memory,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,2190.333966499737
Energy x Cost,energy,True,w/o Heterogeneous Memory,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,2396.8541225256454
Energy x Cost,energy,True,w/o Heterogeneous Memory,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,54260.13678635497
Energy x Cost,energy,True,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,599.9023259278254
Energy x Cost,energy,True,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,6083.8797331764135
Energy x Cost,energy,True,w/o Heterogeneous Memory,mobilenet_v3_small_b1_seq1,cnn,0.8647713390419487
Energy x Cost,energy,True,w/o Heterogeneous Memory,mobilenet_v3_small_b8_seq1,cnn,5.753332017945212
Energy x Cost,energy,True,w/o Heterogeneous Memory,replknet31b_b1_seq1,cnn,32.80037623225299
Energy x Cost,energy,True,w/o Heterogeneous Memory,replknet31b_b8_seq1,cnn,234.0061200655127
Energy x Cost,energy,True,homo GDDR7 (PIM kept),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,43.92351560985612
Energy x Cost,energy,True,homo GDDR7 (PIM kept),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,538.2584138441396
Energy x Cost,energy,True,homo GDDR7 (PIM kept),llama3.1_8b_decode_kv1024_b1_seq1,decode,0.2248023697865127
Energy x Cost,energy,True,homo GDDR7 (PIM kept),llama3.1_8b_decode_kv1024_b8_seq1,decode,4.269626242242559
Energy x Cost,energy,True,homo GDDR7 (PIM kept),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,181.17218730106995
Energy x Cost,energy,True,homo GDDR7 (PIM kept),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,1847.1591305827062
Energy x Cost,energy,True,homo GDDR7 (PIM kept),llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6514222728161473
Energy x Cost,energy,True,homo GDDR7 (PIM kept),llama3.1_70b_decode_kv1024_b8_seq1,decode,9.896660625646346
