metric,objective,cost_aware,config,mem,batch,tp,fusion,network,category,value
Energy,energy,False,w/o Mem,0,1,1,1,mobilenet_v3_small_b1_seq1,cnn,5.449609973385528e-05
Energy,energy,False,w/o Mem,0,1,1,1,mobilenet_v3_small_b8_seq1,cnn,0.00040499296950339316
Energy,energy,False,w/o Mem,0,1,1,1,replknet31b_b1_seq1,cnn,0.00283371798970525
Energy,energy,False,w/o Mem,0,1,1,1,replknet31b_b8_seq1,cnn,0.020925880679141633
Energy,energy,False,w/o Batch,1,0,1,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2723981650526211
Energy,energy,False,w/o Batch,1,0,1,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.0815289696900403
Energy,energy,False,w/o Batch,1,0,1,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022389844705535894
Energy,energy,False,w/o Batch,1,0,1,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017075387406102163
Energy,energy,False,w/o Batch,1,0,1,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0271351742376265
Energy,energy,False,w/o Batch,1,0,1,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.109638179014542
Energy,energy,False,w/o Batch,1,0,1,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006547960476079382
Energy,energy,False,w/o Batch,1,0,1,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.051899446036882395
Energy,energy,False,w/o Batch,1,0,1,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.04060623422834467
Energy,energy,False,w/o Batch,1,0,1,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.31151272596457763
Energy,energy,False,w/o Batch,1,0,1,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003757406904014574
Energy,energy,False,w/o Batch,1,0,1,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023101591413227183
Energy,energy,False,w/o Batch,1,0,1,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.1320004734183861
Energy,energy,False,w/o Batch,1,0,1,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0126256594556955
Energy,energy,False,w/o Batch,1,0,1,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010787141086849025
Energy,energy,False,w/o Batch,1,0,1,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08315714609478762
Energy,energy,False,w/o Batch,1,0,1,1,mobilenet_v3_small_b1_seq1,cnn,4.898774773385527e-05
Energy,energy,False,w/o Batch,1,0,1,1,mobilenet_v3_small_b8_seq1,cnn,0.0003716671446383544
Energy,energy,False,w/o Batch,1,0,1,1,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,w/o Batch,1,0,1,1,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Tp,1,1,0,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.26928802223493836
Energy,energy,False,w/o Tp,1,1,0,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.187425856797779
Energy,energy,False,w/o Tp,1,1,0,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002200653022007134
Energy,energy,False,w/o Tp,1,1,0,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.01695788498679726
Energy,energy,False,w/o Tp,1,1,0,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0509670588880597
Energy,energy,False,w/o Tp,1,1,0,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.259797573048449
Energy,energy,False,w/o Tp,1,1,0,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006450207860713182
Energy,energy,False,w/o Tp,1,1,0,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05159733233426734
Energy,energy,False,w/o Tp,1,1,0,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.043914953750578786
Energy,energy,False,w/o Tp,1,1,0,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3282839166907932
Energy,energy,False,w/o Tp,1,1,0,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003727677565918374
Energy,energy,False,w/o Tp,1,1,0,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023072215808397183
Energy,energy,False,w/o Tp,1,1,0,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.1315198028519049
Energy,energy,False,w/o Tp,1,1,0,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0690383825576795
Energy,energy,False,w/o Tp,1,1,0,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010710895331371574
Energy,energy,False,w/o Tp,1,1,0,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08308161766913773
Energy,energy,False,w/o Tp,1,1,0,1,mobilenet_v3_small_b1_seq1,cnn,4.898774773385527e-05
Energy,energy,False,w/o Tp,1,1,0,1,mobilenet_v3_small_b8_seq1,cnn,0.0003716671446383544
Energy,energy,False,w/o Tp,1,1,0,1,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,w/o Tp,1,1,0,1,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Fusion,1,1,1,0,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2712249843128479
Energy,energy,False,w/o Fusion,1,1,1,0,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.1217418242234323
Energy,energy,False,w/o Fusion,1,1,1,0,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022622222136525426
Energy,energy,False,w/o Fusion,1,1,1,0,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017835169799923774
Energy,energy,False,w/o Fusion,1,1,1,0,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0274896066429076
Energy,energy,False,w/o Fusion,1,1,1,0,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.339036806266344
Energy,energy,False,w/o Fusion,1,1,1,0,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.0064823333384249684
Energy,energy,False,w/o Fusion,1,1,1,0,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05204089361817855
Energy,energy,False,w/o Fusion,1,1,1,0,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.03990129839927497
Energy,energy,False,w/o Fusion,1,1,1,0,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.31151272596457763
Energy,energy,False,w/o Fusion,1,1,1,0,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003727677565918374
Energy,energy,False,w/o Fusion,1,1,1,0,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023072215808397183
Energy,energy,False,w/o Fusion,1,1,1,0,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.13029594006430403
Energy,energy,False,w/o Fusion,1,1,1,0,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0126256594556955
Energy,energy,False,w/o Fusion,1,1,1,0,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010710895331371574
Energy,energy,False,w/o Fusion,1,1,1,0,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08308161766913773
Energy,energy,False,w/o Fusion,1,1,1,0,mobilenet_v3_small_b1_seq1,cnn,8.311289706323438e-05
Energy,energy,False,w/o Fusion,1,1,1,0,mobilenet_v3_small_b8_seq1,cnn,0.0006438140264731021
Energy,energy,False,w/o Fusion,1,1,1,0,replknet31b_b1_seq1,cnn,0.0035879514224212896
Energy,energy,False,w/o Fusion,1,1,1,0,replknet31b_b8_seq1,cnn,0.02998131263677132
Energy,energy,False,w/o Mem+Batch,0,0,1,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.28626909572843695
Energy,energy,False,w/o Mem+Batch,0,0,1,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.1512744201816547
Energy,energy,False,w/o Mem+Batch,0,0,1,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022389844705535894
Energy,energy,False,w/o Mem+Batch,0,0,1,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017460755013994016
Energy,energy,False,w/o Mem+Batch,0,0,1,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.091776068879595
Energy,energy,False,w/o Mem+Batch,0,0,1,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.318199889906829
Energy,energy,False,w/o Mem+Batch,0,0,1,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006547960476079382
Energy,energy,False,w/o Mem+Batch,0,0,1,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.051899446036882395
Energy,energy,False,w/o Mem+Batch,0,0,1,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.044869318880776624
Energy,energy,False,w/o Mem+Batch,0,0,1,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.344565255209951
Energy,energy,False,w/o Mem+Batch,0,0,1,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.005078947841948631
Energy,energy,False,w/o Mem+Batch,0,0,1,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.0297828924729995
Energy,energy,False,w/o Mem+Batch,0,0,1,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.14437001694277543
Energy,energy,False,w/o Mem+Batch,0,0,1,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0718216768442235
Energy,energy,False,w/o Mem+Batch,0,0,1,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.01395679533087614
Energy,energy,False,w/o Mem+Batch,0,0,1,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11044364918393074
Energy,energy,False,w/o Mem+Batch,0,0,1,1,mobilenet_v3_small_b1_seq1,cnn,5.449609973385528e-05
Energy,energy,False,w/o Mem+Batch,0,0,1,1,mobilenet_v3_small_b8_seq1,cnn,0.00040499296950339316
Energy,energy,False,w/o Mem+Batch,0,0,1,1,replknet31b_b1_seq1,cnn,0.00283371798970525
Energy,energy,False,w/o Mem+Batch,0,0,1,1,replknet31b_b8_seq1,cnn,0.020925880679141633
Energy,energy,False,w/o Mem+Tp,0,1,0,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.28304990100675415
Energy,energy,False,w/o Mem+Tp,0,1,0,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.2449422164777784
Energy,energy,False,w/o Mem+Tp,0,1,0,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002200653022007134
Energy,energy,False,w/o Mem+Tp,0,1,0,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017309698162689017
Energy,energy,False,w/o Mem+Tp,0,1,0,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.085947556962187
Energy,energy,False,w/o Mem+Tp,0,1,0,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.440531652225186
Energy,energy,False,w/o Mem+Tp,0,1,0,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006450207860713182
Energy,energy,False,w/o Mem+Tp,0,1,0,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05159733233426734
Energy,energy,False,w/o Mem+Tp,0,1,0,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.047000388630578
Energy,energy,False,w/o Mem+Tp,0,1,0,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3469078060987861
Energy,energy,False,w/o Mem+Tp,0,1,0,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.00504081351185243
Energy,energy,False,w/o Mem+Tp,0,1,0,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.029745128260169496
Energy,energy,False,w/o Mem+Tp,0,1,0,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.16097438644846454
Energy,energy,False,w/o Mem+Tp,0,1,0,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.123986189789674
Energy,energy,False,w/o Mem+Tp,0,1,0,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.013866388471048433
Energy,energy,False,w/o Mem+Tp,0,1,0,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11036812075828084
Energy,energy,False,w/o Mem+Tp,0,1,0,1,mobilenet_v3_small_b1_seq1,cnn,5.449609973385528e-05
Energy,energy,False,w/o Mem+Tp,0,1,0,1,mobilenet_v3_small_b8_seq1,cnn,0.00040499296950339316
Energy,energy,False,w/o Mem+Tp,0,1,0,1,replknet31b_b1_seq1,cnn,0.00283371798970525
Energy,energy,False,w/o Mem+Tp,0,1,0,1,replknet31b_b8_seq1,cnn,0.020925880679141633
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.30009707219511933
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.195249565403049
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022622222136525426
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017835169799923774
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0921935082341339
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.65602247117626
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.0064823333384249684
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05204089361817855
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.04410146849170692
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.344565255209951
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.00504081351185243
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.029745128260169496
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.14248612898440735
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0718216768442235
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.013866388471048433
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11036812075828084
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,mobilenet_v3_small_b1_seq1,cnn,9.801004906323438e-05
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,mobilenet_v3_small_b8_seq1,cnn,0.0007660633704731022
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,replknet31b_b1_seq1,cnn,0.00387484550242149
Energy,energy,False,w/o Mem+Fusion,0,1,1,0,replknet31b_b8_seq1,cnn,0.032219641916771326
Energy,energy,False,w/o Batch+Tp,1,0,0,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2723981650526211
Energy,energy,False,w/o Batch+Tp,1,0,0,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.187425856797779
Energy,energy,False,w/o Batch+Tp,1,0,0,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022389844705535894
Energy,energy,False,w/o Batch+Tp,1,0,0,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017075387406102163
Energy,energy,False,w/o Batch+Tp,1,0,0,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0563341973654679
Energy,energy,False,w/o Batch+Tp,1,0,0,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.259797573048449
Energy,energy,False,w/o Batch+Tp,1,0,0,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006547960476079382
Energy,energy,False,w/o Batch+Tp,1,0,0,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.051899446036882395
Energy,energy,False,w/o Batch+Tp,1,0,0,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.04461988957964849
Energy,energy,False,w/o Batch+Tp,1,0,0,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3282839166907932
Energy,energy,False,w/o Batch+Tp,1,0,0,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003757406904014574
Energy,energy,False,w/o Batch+Tp,1,0,0,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023101591413227183
Energy,energy,False,w/o Batch+Tp,1,0,0,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.13326829887920746
Energy,energy,False,w/o Batch+Tp,1,0,0,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0690383825576795
Energy,energy,False,w/o Batch+Tp,1,0,0,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010787141086849025
Energy,energy,False,w/o Batch+Tp,1,0,0,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08315714609478762
Energy,energy,False,w/o Batch+Tp,1,0,0,1,mobilenet_v3_small_b1_seq1,cnn,4.898774773385527e-05
Energy,energy,False,w/o Batch+Tp,1,0,0,1,mobilenet_v3_small_b8_seq1,cnn,0.0003716671446383544
Energy,energy,False,w/o Batch+Tp,1,0,0,1,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,w/o Batch+Tp,1,0,0,1,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.27433512713053065
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.1217418242234323
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002300553662198998
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017986226651228773
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0328567451203154
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.339036806266344
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006580085953791169
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.052343007320793604
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.04060623422834467
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.31151272596457763
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003757406904014574
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023101591413227183
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.1320004734183861
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0126256594556955
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010787141086849025
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08315714609478762
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,mobilenet_v3_small_b1_seq1,cnn,8.311289706323438e-05
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,mobilenet_v3_small_b8_seq1,cnn,0.0006438140264731021
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,replknet31b_b1_seq1,cnn,0.0035879514224212896
Energy,energy,False,w/o Batch+Fusion,1,0,1,0,replknet31b_b8_seq1,cnn,0.02998131263677132
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2712249843128479
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.2438890531140228
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022622222136525426
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017835169799923774
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0569561118840232
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.461589795135522
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.0064823333384249684
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05204089361817855
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.043914953750578786
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3282839166907932
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003727677565918374
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023072215808397183
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.1315198028519049
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0690383825576795
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010710895331371574
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08308161766913773
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,mobilenet_v3_small_b1_seq1,cnn,8.311289706323438e-05
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,mobilenet_v3_small_b8_seq1,cnn,0.0006438140264731021
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,replknet31b_b1_seq1,cnn,0.0035879514224212896
Energy,energy,False,w/o Tp+Fusion,1,1,0,0,replknet31b_b8_seq1,cnn,0.02998131263677132
