metric,objective,cost_aware,framework,network,category,value
Energy x Cost,energy,True,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,0.035410461891630066
Energy x Cost,energy,True,Fengshui (Full),replknet31b_b1_seq1,cnn,0.17697753006515096
Energy x Cost,energy,True,Fengshui (Full),replknet31b_b8_seq1,cnn,1.225683204335864
Energy x Cost,energy,True,SCAR-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,91.90732311185474
Energy x Cost,energy,True,SCAR-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,1439.4408649548207
Energy x Cost,energy,True,SCAR-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,19.578442855101727
Energy x Cost,energy,True,SCAR-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,58.90419073959217
Energy x Cost,energy,True,SCAR-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,423.23747011027945
Energy x Cost,energy,True,SCAR-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,3809.4150246045083
Energy x Cost,energy,True,SCAR-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,76.86799042355663
Energy x Cost,energy,True,SCAR-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,191.1631783028214
Energy x Cost,energy,True,SCAR-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,24.144628548197545
Energy x Cost,energy,True,SCAR-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,778.7501958081341
Energy x Cost,energy,True,SCAR-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,5.6717304769419385
Energy x Cost,energy,True,SCAR-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,133.6254750833488
Energy x Cost,energy,True,SCAR-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,79.070669800598
Energy x Cost,energy,True,SCAR-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1851.1801438757586
Energy x Cost,energy,True,SCAR-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,21.082612192271906
Energy x Cost,energy,True,SCAR-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,447.0498107031012
Energy x Cost,energy,True,SCAR-style,mobilenet_v3_small_b1_seq1,cnn,0.02331866100138072
Energy x Cost,energy,True,SCAR-style,mobilenet_v3_small_b8_seq1,cnn,0.12549449436023252
Energy x Cost,energy,True,SCAR-style,replknet31b_b1_seq1,cnn,0.5469687449760489
Energy x Cost,energy,True,SCAR-style,replknet31b_b8_seq1,cnn,3.650815403754131
EDP,edp,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.00015758766836418395
EDP,edp,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.009367838511421018
EDP,edp,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b1_seq1,decode,2.5175086104862847e-08
EDP,edp,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b8_seq1,decode,1.4322056383779376e-06
EDP,edp,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.002307145249737857
