metric,objective,cost_aware,config,network,category,value
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.013866388471048433
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11036812075828084
Energy,energy,False,w/o Heterogeneous Memory,mobilenet_v3_small_b1_seq1,cnn,5.449609973385528e-05
Energy,energy,False,w/o Heterogeneous Memory,mobilenet_v3_small_b8_seq1,cnn,0.00040499296950339316
Energy,energy,False,w/o Heterogeneous Memory,replknet31b_b1_seq1,cnn,0.00283371798970525
Energy,energy,False,w/o Heterogeneous Memory,replknet31b_b8_seq1,cnn,0.020925880679141633
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.26928802223493836
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.187425856797779
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002200653022007134
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.01695788498679726
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0509670588880597
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.259797573048449
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006450207860713182
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05159733233426734
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.043914953750578786
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3282839166907932
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003727677565918374
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023072215808397183
Energy,energy,False,w/o Tensor Parallelism,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.1315198028519049
Energy,energy,False,w/o Tensor Parallelism,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0690383825576795
Energy,energy,False,w/o Tensor Parallelism,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010710895331371574
Energy,energy,False,w/o Tensor Parallelism,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08308161766913773
Energy,energy,False,w/o Tensor Parallelism,mobilenet_v3_small_b1_seq1,cnn,4.898774773385527e-05
Energy,energy,False,w/o Tensor Parallelism,mobilenet_v3_small_b8_seq1,cnn,0.0003716671446383544
Energy,energy,False,w/o Tensor Parallelism,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,w/o Tensor Parallelism,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Layer Fusion,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2712249843128479
Energy,energy,False,w/o Layer Fusion,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.1217418242234323
Energy,energy,False,w/o Layer Fusion,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022622222136525426
Energy,energy,False,w/o Layer Fusion,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017835169799923774
Energy,energy,False,w/o Layer Fusion,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0274896066429076
Energy,energy,False,w/o Layer Fusion,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.339036806266344
Energy,energy,False,w/o Layer Fusion,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.0064823333384249684
Energy,energy,False,w/o Layer Fusion,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05204089361817855
Energy,energy,False,w/o Layer Fusion,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.03990129839927497
Energy,energy,False,w/o Layer Fusion,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.31151272596457763
Energy,energy,False,w/o Layer Fusion,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003727677565918374
Energy,energy,False,w/o Layer Fusion,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023072215808397183
Energy,energy,False,w/o Layer Fusion,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.13029594006430403
Energy,energy,False,w/o Layer Fusion,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0126256594556955
Energy,energy,False,w/o Layer Fusion,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010710895331371574
Energy,energy,False,w/o Layer Fusion,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08308161766913773
Energy,energy,False,w/o Layer Fusion,mobilenet_v3_small_b1_seq1,cnn,8.311289706323438e-05
Energy,energy,False,w/o Layer Fusion,mobilenet_v3_small_b8_seq1,cnn,0.0006438140264731021
Energy,energy,False,w/o Layer Fusion,replknet31b_b1_seq1,cnn,0.0035879514224212896
Energy,energy,False,w/o Layer Fusion,replknet31b_b8_seq1,cnn,0.02998131263677132
Energy x Cost,energy,True,Full Fengshui,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,22.315205433419933
Energy x Cost,energy,True,Full Fengshui,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,274.8188843274165
Energy x Cost,energy,True,Full Fengshui,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.2268313621960487
Energy x Cost,energy,True,Full Fengshui,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.31035111568372
Energy x Cost,energy,True,Full Fengshui,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,88.77324140913306
Energy x Cost,energy,True,Full Fengshui,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,942.8983850092517
Energy x Cost,energy,True,Full Fengshui,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6612004117506934
Energy x Cost,energy,True,Full Fengshui,llama3.1_70b_decode_kv1024_b8_seq1,decode,10.05040205680822
Energy x Cost,energy,True,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,3.6676041651794904
Energy x Cost,energy,True,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,84.42162973947886
Energy x Cost,energy,True,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.4955481363105974
Energy x Cost,energy,True,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,5.672456385963399
Energy x Cost,energy,True,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,12.002619625481904
