metric,objective,cost_aware,framework,network,category,value
Energy x Cost,energy,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,37.010506361915716
Energy x Cost,energy,True,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,0.005563447608246954
Energy x Cost,energy,True,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,0.035410461891630066
Energy x Cost,energy,True,Fengshui (Full),replknet31b_b1_seq1,cnn,0.17697753006515096
Energy x Cost,energy,True,Fengshui (Full),replknet31b_b8_seq1,cnn,1.225683204335864
Energy x Cost,energy,True,homo-per-net,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,49.933370620536394
Energy x Cost,energy,True,homo-per-net,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,645.7619279448498
Energy x Cost,energy,True,homo-per-net,llama3.1_8b_decode_kv1024_b1_seq1,decode,6.528065138055209
Energy x Cost,energy,True,homo-per-net,llama3.1_8b_decode_kv1024_b8_seq1,decode,17.693619879586258
Energy x Cost,energy,True,homo-per-net,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,204.30425238198325
Energy x Cost,energy,True,homo-per-net,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,2332.507384598843
Energy x Cost,energy,True,homo-per-net,llama3.1_70b_decode_kv1024_b1_seq1,decode,25.584003287903258
Energy x Cost,energy,True,homo-per-net,llama3.1_70b_decode_kv1024_b8_seq1,decode,55.24581666982069
Energy x Cost,energy,True,homo-per-net,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,10.028767909190938
Energy x Cost,energy,True,homo-per-net,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,305.8753579301604
Energy x Cost,energy,True,homo-per-net,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,1.9044916939091203
Energy x Cost,energy,True,homo-per-net,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,36.95302689814351
Energy x Cost,energy,True,homo-per-net,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,30.913028688138922
Energy x Cost,energy,True,homo-per-net,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,806.1266914762043
Energy x Cost,energy,True,homo-per-net,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,7.053013760352969
Energy x Cost,energy,True,homo-per-net,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,117.37292796712822
Energy x Cost,energy,True,homo-per-net,mobilenet_v3_small_b1_seq1,cnn,0.009870765047870982
Energy x Cost,energy,True,homo-per-net,mobilenet_v3_small_b8_seq1,cnn,0.06531415334308505
Energy x Cost,energy,True,homo-per-net,replknet31b_b1_seq1,cnn,0.36450874056758
Energy x Cost,energy,True,homo-per-net,replknet31b_b8_seq1,cnn,2.5774767646946106
EDP,edp,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.00015758766836418395
EDP,edp,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.009367838511421018
EDP,edp,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b1_seq1,decode,2.5175086104862847e-08
EDP,edp,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b8_seq1,decode,1.4322056383779376e-06
EDP,edp,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.002307145249737857
EDP,edp,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.14256089838845293
EDP,edp,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b1_seq1,decode,1.6186985414918802e-07
EDP,edp,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b8_seq1,decode,1.0559406815407855e-05
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,1.2798971264741874e-05
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.0002984054264505237
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,5.622217237288215e-07
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,4.966216369621634e-06
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,7.48365486912162e-05
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,0.0035035579016987357
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,3.7470274831048083e-07
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,7.42316797259462e-05
EDP,edp,False,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,2.3474437813306373e-10
EDP,edp,False,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,1.2233547388076132e-08
EDP,edp,False,Fengshui (Full),replknet31b_b1_seq1,cnn,6.259917261853028e-07
EDP,edp,False,Fengshui (Full),replknet31b_b8_seq1,cnn,2.773779788466969e-05
EDP,edp,False,homo-per-net,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.00034214645644035766
EDP,edp,False,homo-per-net,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.012962497422168706
EDP,edp,False,homo-per-net,llama3.1_8b_decode_kv1024_b1_seq1,decode,4.360287076334058e-05
EDP,edp,False,homo-per-net,llama3.1_8b_decode_kv1024_b8_seq1,decode,5.2782338249241215e-05
EDP,edp,False,homo-per-net,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.005244861339617018
EDP,edp,False,homo-per-net,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.19820679927553933
EDP,edp,False,homo-per-net,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.0006790364561498161
EDP,edp,False,homo-per-net,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.0007810651469544589
EDP,edp,False,homo-per-net,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,3.605786437018639e-05
EDP,edp,False,homo-per-net,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.0008977794535402836
EDP,edp,False,homo-per-net,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,2.717988080178505e-06
EDP,edp,False,homo-per-net,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.00014713218891575512
EDP,edp,False,homo-per-net,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.00025145703842508724
EDP,edp,False,homo-per-net,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,0.010996704786617403
EDP,edp,False,homo-per-net,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,4.00365729226464e-05
EDP,edp,False,homo-per-net,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.0021747518229481982
EDP,edp,False,homo-per-net,mobilenet_v3_small_b1_seq1,cnn,2.746312411321823e-10
EDP,edp,False,homo-per-net,mobilenet_v3_small_b8_seq1,cnn,1.712376926821796e-08
EDP,edp,False,homo-per-net,replknet31b_b1_seq1,cnn,6.81496648092578e-07
EDP,edp,False,homo-per-net,replknet31b_b8_seq1,cnn,2.3561146011208455e-05
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.044231245568591995
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,1.9554523636967112
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_decode_kv1024_b1_seq1,decode,3.011339051666872e-06
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_decode_kv1024_b8_seq1,decode,0.00040280480488407827
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.8777136909330151
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,31.046875695673613
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_decode_kv1024_b1_seq1,decode,2.8035747951273957e-05
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_decode_kv1024_b8_seq1,decode,0.002668261938854471
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.0032508224224930384
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.22602017203007094
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,0.00015912889711021684
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.0018649257399288024
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.022726817248327084
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,1.9373499616551524
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,3.828444601457546e-05
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.02545504428227942
EDP x Cost,edp,True,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,2.8277814054349168e-08
EDP x Cost,edp,True,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,1.6761658753700515e-06
EDP x Cost,edp,True,Fengshui (Full),replknet31b_b1_seq1,cnn,4.0966924941205564e-05
EDP x Cost,edp,True,Fengshui (Full),replknet31b_b8_seq1,cnn,0.0018822026293742672
EDP x Cost,edp,True,homo-per-net,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.055727927093212254
EDP x Cost,edp,True,homo-per-net,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,3.2586903356541135
EDP x Cost,edp,True,homo-per-net,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.004791958854915117
EDP x Cost,edp,True,homo-per-net,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.012994424456626583
EDP x Cost,edp,True,homo-per-net,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.1389080242288439
EDP x Cost,edp,True,homo-per-net,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,52.92557444533712
EDP x Cost,edp,True,homo-per-net,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.07511760139766537
EDP x Cost,edp,True,homo-per-net,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.16224768226206285
EDP x Cost,edp,True,homo-per-net,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.004518258271974894
EDP x Cost,edp,True,homo-per-net,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.4594768463808647
EDP x Cost,edp,True,homo-per-net,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,0.0002999498238239108
EDP x Cost,edp,True,homo-per-net,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.046559631394800086
EDP x Cost,edp,True,homo-per-net,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.03284269723318646
EDP x Cost,edp,True,homo-per-net,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,4.37088857070036
EDP x Cost,edp,True,homo-per-net,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,0.004440295342967815
EDP x Cost,edp,True,homo-per-net,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.591146404247882
EDP x Cost,edp,True,homo-per-net,mobilenet_v3_small_b1_seq1,cnn,3.2380745481530096e-08
EDP x Cost,edp,True,homo-per-net,mobilenet_v3_small_b8_seq1,cnn,2.1274998928731855e-06
EDP x Cost,edp,True,homo-per-net,replknet31b_b1_seq1,cnn,8.463880848818008e-05
EDP x Cost,edp,True,homo-per-net,replknet31b_b8_seq1,cnn,0.0030260712662592117
