metric,framework,geomean,norm_to_full,decode_norm,prefill_norm,cnn_norm,detail
Energy,Fengshui (Full),0.8825116377703288,1.0,inf,1.0,inf,"{""pool_file"": ""chain_summary_20260407_141127.json"", ""chiplets"": [""gemmini_like@glb1@pe_x_scale1@pe_y_scale3"", ""eyeriss_like@glb1@pe_x_scale4@pe_y_scale2"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale4"", ""simba_like@glb4@pe_x_scale3@pe_y_scale4"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb4@pe_x_scale3@pe_y_scale3"", ""switch_8port@glb1@pe_x_scale3@pe_y_scale3"", ""simba_like@glb1@pe_x_scale4@pe_y_scale3""]}"
Energy,SCAR-style,1.1348371070574412,1.2859174411848147,inf,1.2859174411848147,inf,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
Energy,Gemini-style,1.3747032878109953,1.5577168945717155,inf,1.5577168945717155,inf,"{""dram"": ""GDDR7"", ""design"": ""simba_like@glb1@pe_x_scale2@pe_y_scale2""}"
