metric,objective,cost_aware,framework,network,category,value
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,3.973878341193693e-06
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.0001682661802105447
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,2.3481790012384835e-07
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,1.4592148333427621e-06
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,4.336359290046342e-05
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,0.0021564446810245614
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,3.30930355423937e-07
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,2.0428716202328087e-05
EDP,edp,False,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,1.3108731508282375e-10
EDP,edp,False,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,7.069007421650439e-09
EDP,edp,False,Fengshui (Full),replknet31b_b1_seq1,cnn,5.549070616702787e-07
EDP,edp,False,Fengshui (Full),replknet31b_b8_seq1,cnn,2.6242979486928967e-05
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.034635027424757214
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,1.6858350308055587
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_decode_kv1024_b1_seq1,decode,4.343020711743431e-06
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_decode_kv1024_b8_seq1,decode,0.0003975855545062097
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.754261006409317
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,27.99076002164731
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_decode_kv1024_b1_seq1,decode,2.8456577035634793e-05
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_decode_kv1024_b8_seq1,decode,0.0026935369204218592
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.0011218791417521863
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.10977650819143957
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,7.854361269020957e-05
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.0008971814885158178
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.014756351828706969
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,1.093262256764578
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,5.439882977474899e-05
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.010668326127401906
EDP x Cost,edp,True,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,1.6534747044137895e-08
EDP x Cost,edp,True,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,9.96782410934022e-07
EDP x Cost,edp,True,Fengshui (Full),replknet31b_b1_seq1,cnn,3.796378114555469e-05
EDP x Cost,edp,True,Fengshui (Full),replknet31b_b8_seq1,cnn,0.0017407214657100488
