metric,config,geomean,norm_to_full,decode_norm,prefill_norm,cnn_norm
Energy,Full Fengshui,0.03478798737803934,1.0,1.0,1.0,1.0
Energy,w/o Heterogeneous Batching,0.03499458176404263,1.0059386702587372,1.0078431465613094,1.0070147042679112,1.0
Energy,w/o Heterogeneous Memory,0.0381746467226822,1.0973514020181794,1.1471203625935242,1.0643598669353804,1.0674158691563875
Energy,w/o Tensor Parallelism,0.03539005781922421,1.017306848902818,1.0,1.0438303518901029,1.0
Energy,w/o Layer Fusion,0.038323258589769454,1.1016233325979021,1.016940980153418,1.0096070632521137,1.5391089765424288
Energy x Cost,Full Fengshui,4.23040542938232,1.0,1.0,1.0,1.0
Energy x Cost,w/o Heterogeneous Batching,4.23645859341458,1.0014308709019277,1.001448638319532,1.002129294132669,1.0
Energy x Cost,w/o Heterogeneous Memory,5.774761655521256,1.3650610448380658,1.0348562399243257,1.5273243097656808,1.8973078003592772
Energy x Cost,w/o Tensor Parallelism,4.228451323960812,0.9995380808165722,0.9988456020781269,1.0,1.0
Energy x Cost,w/o Layer Fusion,4.895568036756951,1.1572337730929376,1.0134383976616907,1.0329065889167461,1.8940380223332822
EDP,Full Fengshui,6.845590972622005e-06,1.0,1.0,1.0,1.0
EDP,w/o Heterogeneous Batching,6.871244575106178e-06,1.0037474635260522,1.0031845927592968,1.006190699168862,1.0
EDP,w/o Heterogeneous Memory,1.0872493299157855e-05,1.5882475804705378,1.660492859453368,1.848505895515682,1.0726926558643841
EDP,w/o Tensor Parallelism,9.589680195267658e-06,1.4008549785723772,1.1723467606048044,1.9811933294158872,1.0
EDP,w/o Layer Fusion,7.131078404147695e-06,1.0417038401311818,1.0095645636462574,1.0028668452610134,1.1966484478448478
EDP x Cost,Full Fengshui,0.0016151839189326386,1.0,1.0,1.0,1.0
EDP x Cost,w/o Heterogeneous Batching,0.0016171106517453725,1.001192887565403,1.0026309381396983,1.0003530206176723,1.0
EDP x Cost,w/o Heterogeneous Memory,0.0018283095286706988,1.1319512949824933,1.024394379298861,1.115521111477146,1.4231436582746608
EDP x Cost,w/o Tensor Parallelism,0.0017367287152728116,1.0752513660614536,1.0741640147237257,1.1161033414394563,1.0
EDP x Cost,w/o Layer Fusion,0.0016912195994184794,1.0470755556655662,1.0186894034604448,1.0070108283771875,1.1960194615280555
