metric,config,geomean,norm_to_full,decode_norm,prefill_norm,cnn_norm
Energy,Full Fengshui,0.05162692840344393,1.0,1.0,1.0,1.0
Energy,w/o Near-bank PIM,0.09100406267187815,1.7627247153020138,4.125354122794057,1.0,1.0
Energy x Cost,Full Fengshui,5.699492915874694,1.0,1.0,1.0,1.0
Energy x Cost,w/o Near-bank PIM,10.01343950196679,1.7569000698424486,4.091359579551827,1.0,1.0
EDP,Full Fengshui,1.0074687749228507e-05,1.0,1.0,1.0,1.0
EDP,w/o Near-bank PIM,3.3625701774467955e-05,3.3376420799784015,20.351639708538833,1.0,1.0
EDP x Cost,Full Fengshui,0.0021968499249205463,1.0,1.0,1.0,1.0
EDP x Cost,w/o Near-bank PIM,0.00907483493154425,4.130839721276118,34.60022273689971,1.0023443959045277,1.0
