metric,framework,geomean,norm_to_full,decode_norm,decode-MoE_norm,prefill_norm,prefill-MoE_norm,cnn_norm,detail
EDP x Cost,SCAR-style,0.01585461138498971,inf,inf,inf,inf,inf,inf,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
EDP x Cost,Gemini-style,0.01895399728854786,inf,inf,inf,inf,inf,inf,"{""dram"": ""GDDR7"", ""design"": ""eyeriss_like@glb4@pe_x_scale4@pe_y_scale2""}"
